parameter,location_id,location_name,country,sensor_id,expected_interval,interval_label,datetime_first_local,reaches_jan_2000
pm25,6146655,Bellandur,IN,14754075,01:00:00,hourly,2025-11-29T17:30:00+05:30,False
pm25,784179,Uzice,RS,4275984,01:00:00,hourly,2023-03-30T20:00:00+02:00,False
pm25,6294662,Houston Pleasantvill,US,15851865,01:00:00,hourly,2026-04-02T10:00:00-05:00,False
pm25,3186714,Jebel Heights,SA,11088140,01:00:00,hourly,2024-10-26T20:00:00+03:00,False
pm25,6291376,수신면,KR,15827831,01:00:00,hourly,2026-04-01T01:00:00+09:00,False
pm25,2843627,โรงเรียนราชประชานุเคราะห์ 37,TH,9196354,01:00:00,hourly,2024-05-13T14:00:00+07:00,False
pm25,2622589,방산면,KR,8534132,01:00:00,hourly,2024-03-20T08:00:00+09:00,False
pm25,225576,Khai Surasinghanat,TH,1304250,24:00:00,daily,2021-04-30T02:00:00+07:00,False
pm25,8828,Billings,US,25745,01:00:00,hourly,2017-12-06T15:00:00-07:00,False
pm25,5662223,Waukesha,US,14030927,01:00:00,hourly,2025-09-03T18:00:00-05:00,False
pm25,5076089,Minnehaha Creek/Lake Harriet,US,13602021,01:00:00,hourly,2025-07-14T18:00:00-05:00,False
pm25,5781,İstanbul - Avcılar,TR,7017784,01:00:00,hourly,2023-09-22T13:00:00+03:00,False
pm25,2833,Heidenreichstein Thaures,AT,5078426,01:00:00,hourly,2023-05-06T02:00:00+02:00,False
pm25,7255,Działoszyn,PL,1562415,01:00:00,hourly,2022-01-14T11:00:00+01:00,False
pm25,9466,Civic,AU,28913,01:00:00,hourly,2019-12-24T05:00:00+11:00,False
pm25,9770,US Diplomatic Post: Guatemala City,GT,30479,01:00:00,hourly,2019-10-20T15:00:00-06:00,False
pm25,3066056,Community Magnet ES (2741),US,10635291,00:18:00,hourly,2024-09-16T10:12:07-07:00,False
pm25,6344446,DeVoscuyl,NL,16225317,01:00:00,hourly,2026-05-11T16:00:00+02:00,False
pm25,3930,40AL04 - BEVEREN,BE,9148,01:00:00,hourly,2016-11-22T16:00:00+01:00,False
pm25,2674799,"Talingchan, Bangkok, Thailand",TH,8655382,01:00:00,hourly,2024-03-29T17:00:00+07:00,False
pm25,2623751,조치원읍,KR,8534031,01:00:00,hourly,2024-03-20T08:00:00+09:00,False
pm25,6341002,Happy Valley ,US,16199450,01:00:00,hourly,2026-05-08T18:00:00-07:00,False
pm25,3911438,Nicholas,US,12644533,00:18:00,hourly,2025-03-31T15:16:58-07:00,False
pm25,6126991,Bissingen Nord,DE,14610010,01:00:00,hourly,2025-11-11T19:00:00+01:00,False
pm25,6199576,Beach,US,15161833,01:00:00,hourly,2026-01-13T12:00:00-07:00,False
pm25,691,DCNearRoad,US,1188,01:00:00,hourly,2016-03-13T03:00:00-04:00,False
pm25,7445,MMCA81010,US,21637,01:00:00,hourly,2020-02-13T00:00:00-08:00,False
pm25,6138460,Hilversum Zuid,NL,14693309,01:00:00,hourly,2025-11-21T19:00:00+01:00,False
pm25,938279,Millvale,US,5184204,,unknown,,False
pm25,2162353,FERROL,ES,7773921,01:00:00,hourly,2024-01-29T00:00:00+01:00,False
pm25,7342,安钢职工学校,CN,21243,01:00:00,hourly,2020-01-15T15:00:00+08:00,False
pm25,1215130,岡谷市今井１６６０－３,JP,6517591,01:00:00,hourly,2023-07-15T02:00:00+09:00,False
pm25,3295366,Windmill,US,11498874,00:18:00,hourly,2024-12-01T12:02:16-06:00,False
pm25,9696,长江旅游区(对照点),CN,30099,01:00:00,hourly,2018-10-17T20:00:00+08:00,False
pm25,3409441,"Sinchan Bhavan, Kolhapur - MPCB",IN,12238023,01:00:00,hourly,2025-02-19T01:45:00+05:30,False
pm25,219,Columbus - Rocky For,US,362,01:00:00,hourly,2016-03-13T01:00:00-05:00,False
pm25,921000,3A-PM2.5,US,5077570,01:00:00,hourly,2023-05-08T13:00:00-04:00,False
pm25,5337570,Groene Longen_Ringlaan,BE,14153238,01:00:00,hourly,2025-09-19T02:00:00+02:00,False
